"iter","objective","rel_objective_change","step_frob","rel_step_frob","truth_frob","rel_truth_frob","truth_matrix_mse","eta_step","backtrack_count","backtrack_total","accepted_no_move","stop_condition","stop_streak","window_rel_objective","window_rel_frob","rank_1e8","rank_1e4","converged"
0,1.04308146076775,NA,NA,NA,26.1233888265588,3.51100520973635,0.909908591711436,NA,NA,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
1,0.978580956120647,0.031570207006266,0.280366956040019,0.0103047723945557,26.0082836801596,3.49553498221885,0.901907759983539,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
2,0.929832772759698,0.0246379523719506,0.244799694314295,0.00904185940628803,25.9010286248851,3.48111981348483,0.894484378436155,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
3,0.89189304184584,0.0196595950951768,0.217136533837755,0.00805695702216174,25.8000478620125,3.46754791487386,0.887523292909513,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
4,0.861656571336925,0.0159821246973957,0.195046902753313,0.00726862463859141,25.7042239503027,3.454669101353,0.880942838516423,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
5,0.837070598939744,0.013206502625522,0.177065618487127,0.00662561311487346,25.6127291270118,3.44237212092022,0.874682524444908,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
6,0.816722259406235,0.0110765147214553,0.162222547692325,0.0060939674859638,25.5249297699355,3.43057181422367,0.868696053013521,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
7,0.799607839252802,0.00942049345452863,0.149844232868755,0.00565009737710444,25.4403286379256,3.41920135163903,0.862947094940876,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
8,0.7849964237659,0.00811922195947345,0.139442585652678,0.00527688129155622,25.3585279183629,3.40820726681904,0.857406584248523,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
9,0.772345364975693,0.00708744209331054,0.130650148892267,0.00496139954195956,25.2792044105167,3.39754612131638,0.85205090083825,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
10,0.761245633629191,0.00626273612685728,0.123181316148595,0.00469357772783408,25.2020921672666,3.38718217161662,0.846860599476531,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
11,0.75138518682345,0.00559856423060234,0.116808463709077,0.00446535439263626,25.1269699439626,3.3770856822546,0.841819491419734,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
12,0.742523643860942,0.00505973387760608,0.111346831083798,0.00427015636333925,25.053651880072,3.36723167341996,0.836913963370449,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
13,0.734474324170657,0.00461934603793953,0.1066446054967,0.00410255680833903,24.9819804363165,3.35759897170252,0.832132462027332,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
14,0.727091236699934,0.00425667152741165,0.102576134464181,0.00395804260323454,24.9118209546718,3.3481694789517,0.827465097703501,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
15,0.720259495286326,0.00395563434544492,0.0990370427713549,0.00383284766921698,24.8430574155959,3.33892760204444,0.822903335672791,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
16,0.713888162398768,0.00370370453121522,0.0959405354231496,0.00372382687848512,24.7755890961168,3.32985980372945,0.818439753412829,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
17,0.707904848995031,0.0034910757510357,0.0932144693345449,0.00362835586122336,24.7093279162711,3.32095424598631,0.81406784809842,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
18,0.702251605241182,0.0033100460820024,0.0907989540616981,0.00354424839889954,24.6441963177758,3.3122005049172,0.809781882865435,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
19,0.696881772577681,0.0031545469817547,0.0886443438277358,0.00346968673361865,24.5801255580084,3.30358934145641,0.805576763263277,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
20,0.691757559170702,0.00301978222041694,0.0867095394507741,0.00340316212450946,24.5170543303927,3.29511251594907,0.801447937385901,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
21,0.686848164135221,0.00290194951922502,0.0849605485284389,0.00334342401940867,24.4549276428125,3.28676263740897,0.797391314686927,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
22,0.682128320741328,0.00279802503523618,0.083369267237098,0.00328943671269002,24.3936959009966,3.27853304032475,0.793403199613731,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
23,0.677577161144446,0.00270559596480524,0.0819124545058675,0.0032403425887025,24.3333141554303,3.27041768344423,0.789480237049153,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
24,0.673177328868768,0.00262273019541856,0.0805708731860222,0.00319543115424014,24.2737414792522,3.26241106616314,0.785619367202093,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
25,0.668914282853921,0.00254787459840206,0.0793285752903696,0.00315411312151604,24.2149404514753,3.25450815906968,0.781817788091327,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
26,0.664775750055631,0.00247977552880223,0.0781723104252603,0.00311589885202325,24.1568767252286,3.24670434591579,0.778072924157188,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
27,0.66075129355199,0.00241741658208707,0.0770910385629229,0.00308038052511463,24.099518664903,3.23899537484927,0.774382399840013,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
28,0.656831970680839,0.00235996978377707,0.0760755303838159,0.0030472174554191,24.0428370393726,3.23137731718245,0.770744017202438,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
29,0.653010061520401,0.00230675725002305,0.075118040513342,0.00301612404793888,23.9868047610487,3.22384653232085,0.767155736859557,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
30,0.649278852462763,0.0022572210203039,0.0742120410078164,0.0029868599452537,23.9313966625675,3.21639963774983,0.763615661628197,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
31,0.645632463042739,0.00221089927551036,0.0733520043426714,0.00295922198447937,23.8765893045268,3.20903348319423,0.760122022422728,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
32,0.642065706815802,0.00216740755122296,0.0725332268759353,0.00293303764021827,23.8223608089664,3.20174512823795,0.756673166016773,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
33,0.638573979111368,0.0021264238635158,0.0717516852789929,0.00290815968235971,23.7686907143052,3.19453182282748,0.753267544363067,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
34,0.63515316606053,0.00208767690348241,0.071003919740849,0.00288446182372071,23.7155598482576,3.18739099019165,0.749903705221716,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
35,0.631799570516544,0.00205093664226337,0.0702869388698548,0.00286183517217089,23.6629502158963,3.18032021179728,0.746580283893318,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
36,0.628509851432743,0.00201600683272635,0.0695981421551636,0.00284018533546472,23.6108449005487,3.17331721402945,0.743295995890356,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
37,0.625280973998448,0.00198271900624594,0.0689352566290465,0.00281943005508291,23.5592279756243,3.16637985634116,0.740049630409919,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
38,0.622110168406512,0.00195092765045763,0.0682962850122503,0.00279949726864029,23.5080844258096,3.15950612066176,0.736840044494657,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
39,0.618994895573191,0.00192050632194805,0.0676794631484602,0.00278032351952513,23.4574000763314,3.15269410188995,0.7336661577881,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
40,0.615932818480454,0.00189134450090577,0.0670832249597399,0.0027618526480399,23.4071615292107,3.14594199932616,0.730526947806079,1,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
