"iter","objective","rel_objective_change","step_frob","rel_step_frob","truth_frob","rel_truth_frob","truth_matrix_mse","eta_step","backtrack_count","backtrack_total","accepted_no_move","stop_condition","stop_streak","window_rel_objective","window_rel_frob","rank_1e8","rank_1e4","converged"
0,0.798843721496898,NA,NA,NA,20.7633098625192,2.79060613393925,0.574820048595981,NA,NA,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
1,0.777491627520466,0.0118698993810669,0.192637947510157,0.00880936992676651,20.6869026252658,2.78033693763247,0.570597253636303,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
2,0.760091005196205,0.0097894257586653,0.173746345329233,0.00797414730800257,20.6132527117357,2.77043832792997,0.566541583143839,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
3,0.745215416942428,0.00845160176937491,0.160669098755983,0.00739946992468093,20.5415375851212,2.76079975519992,0.56260635514793,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
4,0.732090120204877,0.00752073160145836,0.151108925158118,0.00698251085656672,20.4711720020468,2.75134256224533,0.558758510849846,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
5,0.720286724530412,0.0068145389993155,0.14363730176873,0.00665901370619401,20.4017148730149,2.74200746627048,0.554973293013064,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
6,0.70956175478126,0.00623440825079868,0.137394747286104,0.00639017929421809,20.3328218019871,2.73274818016103,0.551231523241816,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
7,0.699767969667091,0.00572882792141212,0.131890807130377,0.00615383337028126,20.2642210729404,2.72352818505727,0.54751820759067,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
8,0.690804850626064,0.00527314268828221,0.126870430965315,0.005938479237081,20.1957015412447,2.71431910294509,0.543821814324046,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
9,0.682591517617663,0.00485764693977573,0.122224072589665,0.00573926598692678,20.1271060748217,2.70509981514233,0.540133865262835,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
10,0.675053157531661,0.00448020806420951,0.117925597233693,0.00555517965466916,20.0583269454943,2.69585584289229,0.536448639803125,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
11,0.66811571343931,0.00414162622908877,0.113988494720789,0.00538704194171423,19.9893012058929,2.68657872601608,0.532762883599881,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
12,0.661705361805364,0.00384286988144815,0.110435717794088,0.00523611515274388,19.9200051685025,2.67726528089198,0.529075474550886,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
13,0.655750325849137,0.00358368943923813,0.107281011333064,0.00510322608416725,19.8504478486716,2.66791671919031,0.525387039723773,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
14,0.650183339628711,0.00336221357381905,0.104520165899185,0.00498834576095759,19.7806637081062,2.65853767259308,0.521699542310919,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
15,0.644943743096464,0.00317516024215012,0.102130094025561,0.00489053461356183,19.710705264118,2.64913519947068,0.518015869345237,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
16,0.639978744439668,0.00301833948889309,0.100072975537211,0.00480812918914884,19.6406361511703,2.63971785234799,0.514339451230213,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
17,0.635243787790487,0.00288720610875879,0.0983026106334513,0.00473903822620472,19.5705250989519,2.63029486855238,0.51067393686494,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
18,0.630702196052927,0.00277731783570723,0.0967706824976475,0.00468103971146273,19.5004411003146,2.6208755207806,0.507022937475784,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
19,0.626324344954527,0.0026846416893269,0.0954315720035826,0.00463201326201252,19.4304498484518,2.61146863825255,0.503389841750937,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
