"case","p","q","sample_size","cov_scale","eta","stop_rule","stop_window","maxit","tol","frob_tol","iter","converged","hit_maxit","final_objective","final_truth_frob","minimax_rate","final_over_minimax_rate","window_rel_objective","window_rel_frob","eta_last","backtrack_total","reference_truth_frob","objective_gap_vs_reference"
"scaledgd_initial_convergence_test","10","10","200","1","0.5","objective","1","500","1e-06","NA","444","TRUE","FALSE","0.135550783005487","1.09705283751691","0.223606797749979","4.90616943919366","NA","NA","0.125","1016","0.509804384076107","0.0171774703661795"
"scaledgd_initial_convergence_test_frob1e3","10","10","200","1","0.5","frob","1","500","1e-06","0.001","289","TRUE","FALSE","0.174389434551549","1.81884401783261","0.223606797749979","8.13411772868512","NA","NA","0.0625","620","1.81884401783261","0"
"scaledgd_initial_convergence_test_frob1e3_window10","10","10","200","1","0.5","frob","10","500","1e-06","0.001","431","TRUE","FALSE","0.137178811134162","1.14107200448956","0.223606797749979","5.10302913852121","NA","NA","0.125","983","0.509804384076107","0.0188054984948553"
"scaledgd_initial_convergence_test_both_frob1e3","10","10","200","1","0.5","both","1","500","1e-06","0.001","500","FALSE","TRUE","0.129704015058062","0.938452542467022","0.223606797749979","4.19688735722754","NA","NA","0.125","1160","0.509804384076107","0.0113307024187551"
"scaledgd_initial_convergence_test_eta025","10","10","200","1","0.25","objective","1","500","1e-06","0.001","500","FALSE","TRUE","0.129528742747076","0.934284760309257","0.223606797749979","4.17824846878719","NA","NA","0.125","644","0.509773001914363","0.0111553950411357"
"scaledgd_initial_convergence_test_eta1","10","10","200","1","1","objective","1","500","1e-06","0.001","500","FALSE","TRUE","0.128951427087418","0.919828049055839","0.223606797749979","4.11359609059974","NA","NA","0.0625","1667","0.50996692637736","0.0105782577978516"
"scaledgd_initial_convergence_test_eta2","10","10","200","1","2","objective","1","500","1e-06","0.001","500","FALSE","TRUE","0.128951427087418","0.919828049055839","0.223606797749979","4.11359609059974","NA","NA","0.0625","2167","0.50996692637736","0.0105782577978516"
"scaledgd_initial_convergence_test_window50","10","10","200","1","0.5","window","50","500","1e-06","0.001","500","FALSE","TRUE","0.129704015058062","0.938452542467022","0.223606797749979","4.19688735722754","8.76573166969275e-05","0.000726274366782722","0.125","1160","0.509804384076107","0.0113307024187551"
"scaledgd_initial_convergence_test_window100","10","10","200","1","0.5","window","100","500","1e-06","0.001","500","FALSE","TRUE","0.129704015058062","0.938452542467022","0.223606797749979","4.19688735722754","0.000109942847149833","0.000778250797706184","0.125","1160","0.509804384076107","0.0113307024187551"
"scaledgd_initial_convergence_test_window50_maxit1000","10","10","200","1","0.5","window","50","1000","1e-06","0.001","1000","FALSE","TRUE","0.118716494856559","0.51099840276304","0.223606797749979","2.28525432994395","2.41557951353743e-06","0.000111850683556339","0.0625","2445","0.509804384076107","0.000343182217252325"
"scaledgd_initial_convergence_test_window100_maxit1000","10","10","200","1","0.5","window","100","1000","1e-06","0.001","1000","FALSE","TRUE","0.118716494856559","0.51099840276304","0.223606797749979","2.28525432994395","2.88861882843256e-06","0.000121046990870362","0.0625","2445","0.509804384076107","0.000343182217252325"
"scaledgd_initial_convergence_test_window50_tol1e5_maxit1000","10","10","200","1","0.5","window","50","1000","1e-05","0.001","798","TRUE","FALSE","0.119713845850606","0.561236846903092","0.223606797749979","2.50992748230591","9.86273924700265e-06","0.000225928713400723","0.125","1926","NA","NA"
"scaledgd_initial_convergence_test_window100_tol1e5_maxit1000","10","10","200","1","0.5","window","100","1000","1e-05","0.001","825","TRUE","FALSE","0.119482732821903","0.549884274343079","0.223606797749979","2.45915723437853","9.9502095539792e-06","0.00022556364432616","0.0625","1996","NA","NA"
"scaledgd_initial_convergence_test_window50_tol3e6_maxit1000","10","10","200","1","0.5","window","50","1000","3e-06","0.001","968","TRUE","FALSE","0.118799329998858","0.514694597370122","0.223606797749979","2.30178421474295","2.95639702393645e-06","0.000123234152418934","0.125","2362","NA","NA"
"scaledgd_initial_convergence_test_window100_tol3e6_maxit1000","10","10","200","1","0.5","window","100","1000","3e-06","0.001","996","TRUE","FALSE","0.118726429502576","0.511352290501915","0.223606797749979","2.28683696402501","2.95810830932964e-06","0.000122588803949133","0.125","2434","NA","NA"
